Branch,Staff,Operating_Cost,Deposits_2016,Deposit_Growth,Avg_Deposits,Latitude,Longitude
JPMorgan Chase Bank Main Office,231.03699999999998,23103700.0,1155185000,101284253.0,911793714.2857143,40.14453,-82.99115
Vernon Hills Scarsdale Branch,0.0763116,7631.16,381558,15564336.0,329788.14285714284,40.97008,-73.8067
Great Neck Northern Boulevard Branch,0.055788,5578.8,278940,15540738.0,232563.42857142858,40.77944,-73.7224
North Hartsdale Branch,0.028046599999999998,2804.66,140233,15547714.0,106755.57142857143,41.02654,-73.79168
Lawrence Rockaway Branch,0.047118799999999995,4711.88,235594,15536647.0,199601.0,40.62715,-73.73675
Mount Vernon Branch,0.030389799999999998,3038.98,151949,15530703.0,146376.85714285713,40.91144,-73.83804
Castle Hill Branch,0.0221184,2211.84,110592,15527679.0,92425.42857142857,40.82292,-73.84887
Burnside Avenue Branch,0.0125986,1259.8600000000001,62993,15530553.0,49021.42857142857,40.85389,-73.9076
Gun Hill Branch,0.0177908,1779.08,88954,15530451.0,77933.0,40.87151,-73.84823
Kingsbridge Road Branch,0.0177348,1773.48,88674,15528949.0,77743.42857142857,40.86671,-73.89562
Riverdale Branch,0.0774666,7746.66,387333,15547151.0,346541.85714285716,40.88763,-73.90737
Washington Heights Branch,0.0359132,3591.32,179566,15540483.0,155818.85714285713,40.84941,-73.9337
Broadway Branch,0.026309,2630.9,131545,15521323.0,123590.57142857143,40.87913,-73.90465
Westchester Square Branch,0.0389218,3892.1800000000003,194609,15535318.0,169907.0,40.84239,-73.84501
Bay Parkway and 85th St Branch,0.0595642,5956.42,297821,15543527.0,236309.7142857143,40.60268,-73.99304
Grand Army Plaza Branch,0.0510168,5101.68,255084,15551690.0,177550.0,40.67576,-73.97135
Carroll Gardens Branch,0.015888199999999998,1588.82,79441,15526158.0,64287.28571428572,40.68279,-74.00556
Third Avenue & 51st Street Branch,0.12865659999999998,12865.66,643283,15585811.0,541455.1428571428,40.75675,-73.97008
East End Branch,0.0895226,8952.26,447613,15546697.0,366469.4285714286,40.77158,-73.95038
Audubon Branch,0.027965999999999998,2796.6,139830,15541863.0,110844.14285714286,40.83951,-73.94077
First Avenue & 72nd Street Branch,0.1072438,10724.380000000001,536219,15576637.0,442600.28571428574,40.76815,-73.95696
Soho Branch,0.1230058,12300.58,615029,15631160.0,421195.14285714284,40.7229,-73.99889
Times Square Branch,0.1065212,10652.12,532606,15560930.0,433704.5714285714,40.75658,-73.98629
Broadway Lispenard Branch,0.0667908,6679.08,333954,15551305.0,239603.57142857142,40.72258,-74.00624
Chinatown Branch,0.17845339999999998,17845.34,892267,15625107.0,661717.0,40.71668,-73.9977
Yorkville Branch,0.1070566,10705.66,535283,15532978.0,474711.0,40.77966,-73.95609
Columbus Avenue & 72nd Street Branch,0.085862,8586.2,429310,15570549.0,364905.4285714286,40.77746,-73.97885
Bloomingdales Branch,0.070785,7078.5,353925,15521256.0,318726.28571428574,40.76302,-73.96761
London Terrace Branch,0.0498852,4988.52,249426,15528106.0,198550.7142857143,40.74743,-74.00339
Tremont Branch,0.0113078,1130.78,56539,15524699.0,50387.142857142855,40.84628,-73.89296
Chelsea Branch,0.0521118,5211.18,260559,15541951.0,226190.85714285713,40.73803,-73.99857
Lexington Avenue & 72nd Street Branch,0.0608608,6086.08,304304,15534960.0,245393.57142857142,40.77067,-73.96198
Sheridan Square Branch,0.0909232,9092.32,454616,15538141.0,378797.14285714284,40.73333,-74.00262
Sutton Place Branch,0.1027922,10279.22,513961,15563936.0,448577.85714285716,40.7568,-73.96401
Empire State Branch,3.1161794,311617.94,15580897,24005369.0,3780141.4285714286,40.7482,-73.98473
Fit Seventh Avenue Branch,0.0982816,9828.16,491408,15614736.0,362411.28571428574,40.74677,-73.99363
West 86th Street Branch,0.07499299999999999,7499.3,374965,15539513.0,332344.71428571426,40.78609,-73.97107
Gracie Square Branch,0.0582344,5823.4400000000005,291172,15538660.0,245146.7142857143,40.77643,-73.94813
Third Avenue & 41st Street Branch,0.1482678,14826.78,741339,15556745.0,633210.5714285715,40.74977,-73.97518
Exxon Building Branch,0.4144274,41442.74,2072137,15588043.0,1912875.7142857143,40.75971,-73.98065
Astoria 30th Avenue Branch,0.0544888,5448.88,272444,15545758.0,205670.14285714287,40.7667,-73.92097
Bay Terrace Branch,0.0559278,5592.78,279639,15550234.0,214505.42857142858,40.77942,-73.77563
Far Rockaway Branch,0.0104536,1045.3600000000001,52268,15525057.0,46393.57142857143,40.60378,-73.752
Downtown Flushing Branch,0.249357,24935.7,1246785,15669453.0,837063.4285714285,40.76001,-73.83035
Forest Hills 71st Ave Branch,0.10403939999999999,10403.94,520197,15542363.0,438998.85714285716,40.72118,-73.8441
Columbia University Branch,0.1290092,12900.92,645046,15583555.0,543821.8571428572,40.80369,-73.96685
Rochdale Village Mall Branch,0.0222258,2222.58,111129,15532099.0,90151.85714285714,40.67933,-73.77793
Hunters Point Branch,0.0496794,4967.9400000000005,248397,15546019.0,178774.85714285713,40.74251,-73.95271
Steinway and Broadway Branch,0.0642534,6425.34,321267,15591784.0,235593.2857142857,40.75923,-73.9196
Queens Blvd and 64th Ave Branch,0.044814,4481.400000000001,224070,15530445.0,209707.57142857142,40.72943,-73.85975
Stapleton Branch,0.0112524,1125.24,56262,15525711.0,52064.71428571428,40.62683,-74.07567
Oceanside Branch,0.0585334,5853.34,292667,15593037.0,221830.57142857142,40.63109,-73.64089
Pelham Branch,0.0493888,4938.88,246944,15545519.0,214349.57142857142,40.91176,-73.80945
Rockville Centre Branch,0.10274359999999999,10274.36,513718,15566349.0,431966.4285714286,40.65661,-73.64764
Hempstead Fulton Branch,0.0198676,1986.76,99338,15530628.0,88895.71428571429,40.70674,-73.63147
Forest Avenue Livermore Branch,0.043599599999999995,4359.96,217998,15546408.0,152805.0,40.62419,-74.13831
Woodbury Branch,0.1019654,10196.54,509827,15590347.0,424160.85714285716,40.81449,-73.47665
Elmsford Branch,0.0231638,2316.38,115819,15465721.0,105200.42857142857,41.06551,-73.81447
Plainview Branch,0.0585904,5859.04,292952,15531614.0,264361.85714285716,40.7763,-73.47066
Coney Island Avenue Branch,0.044725799999999996,4472.58,223629,15548741.0,180910.14285714287,40.59016,-73.96064
Thornwood Branch,0.0368534,3685.34,184267,15542443.0,159690.14285714287,41.11301,-73.77218
Garment Center Branch,0.22155999999999998,22156.0,1107800,15543779.0,921513.8571428572,40.75411,-73.98694
Bainbridge Branch,0.0227756,2277.56,113878,15529142.0,105045.42857142857,40.87514,-73.87956
Bayside South Branch,0.03943,3943.0,197150,15536029.0,175133.57142857142,40.74058,-73.75897
White Plains Branch,0.09054,9054.0,452700,15524478.0,439512.4285714286,41.0281,-73.76476
Kew Gardens Hills Branch,0.0746686,7466.860000000001,373343,15538846.0,317608.5714285714,40.72713,-73.8219
Restoration Plaza Branch,0.0336256,3362.56,168128,15545292.0,127626.71428571429,40.68017,-73.94548
Water Street Branch,0.2138118,21381.18,1069059,15600416.0,994565.1428571428,40.62724,-74.07584
Mineola Branch,0.035238,3523.8,176190,15565302.0,119670.0,40.75111,-73.63561
East Flushing Branch,0.026146199999999998,2614.62,130731,15533728.0,106271.14285714286,40.75799,-73.7855
Knolls Crescent Branch,0.0244318,2443.18,122159,15526296.0,113754.14285714286,40.87886,-73.91723
Sixth Avenue and 23rd St Branch,0.0801528,8015.28,400764,15598192.0,283491.0,40.74255,-73.99181
Amityville Driveup Branch,0.0251844,2518.44,125922,15529445.0,109091.28571428571,40.67894,-73.41969
Babylon Branch,0.0629124,6291.24,314562,15546438.0,280622.71428571426,40.69642,-73.32368
Center Moriches Main St Branch,0.0251896,2518.96,125948,15526123.0,117026.57142857143,40.80038,-72.79423
Deer Park Grand Blvd Branch,0.0491594,4915.9400000000005,245797,15558268.0,190909.7142857143,40.75895,-73.32
East Northportlarkfield Rd Branch,0.027154599999999997,2715.46,135773,15530968.0,122089.14285714286,40.87534,-73.32424
Bar Harbour Branch,0.045000399999999996,4500.04,225002,15557883.0,174415.7142857143,40.66638,-73.45151
