Branch,Efficiency_Score,Status
Chicago Trust Branch,1.0,Efficient
Select Direct I Branch,1.0,Efficient
Wheaton Trust Branch,0.999999,Efficient
Noble Jackson Branch,0.999997,Efficient
Richmond Motor Bank Branch,0.999994,Efficient
Yankee Stadium Branch,0.999989,Efficient
North Sidney Branch,0.999988,Efficient
Select Direct II Branch,0.99998,Efficient
International Private Bkg Ctr Branch,0.999976,Efficient
Woodfield Facility Branch,0.999975,Efficient
Karamu Branch,0.999973,Efficient
Englewood Plaza Branch,0.999962,Efficient
Meadows Drive Branch,0.999957,Efficient
West End Branch,0.999957,Efficient
Riverdale - West 144th St Branch,0.999956,Efficient
South Dekalb Branch,0.999948,Efficient
Chicago - 103rd & Michigan Branch,0.999947,Efficient
Moreland Branch,0.999947,Efficient
Prytania Drive Up Branch,0.999947,Efficient
Prescott Valley Frys Bnkg Ctr Branch,0.999946,Efficient
Long Street Branch,0.999944,Efficient
Moreno Valley Beach State Bros. Banking Center,0.999943,Efficient
Market Street Branch,0.999939,Efficient
Campbell/Irvington Branch,0.999936,Efficient
Johnstown Kroger Banking Ctr Branch,0.999935,Efficient
Sumner Fred Meyer Branch,0.999933,Efficient
Becton Dickinson Corporate Branch,0.999929,Efficient
Greenway and 303 Frys Branch,0.999928,Efficient
Sunny Side Branch,0.999928,Efficient
Madison Avenue and 64th St Branch,0.999927,Efficient
Antoine and Tidwell Branch,0.999926,Efficient
San Jacinto Stater Bros Bnkg Ctr Br,0.999925,Efficient
Sunbury Kroger Branch,0.999925,Efficient
Military and 410 Branch,0.999924,Efficient
Adelanto Stater Brothers Bnkg Ctr Br,0.999923,Efficient
Boise-Franklin Financial Center Branch,0.999922,Efficient
Alvernon and 22nd Frys Branch,0.99992,Efficient
Woodward-Englewood Branch,0.99992,Efficient
Bethany Home and 67th Av Frys Branch,0.999919,Efficient
Cave Creek and Hatcher Frys Bking Ctr Branch,0.999919,Efficient
Shannon Crossing Branch,0.999919,Efficient
Dresden Branch,0.999916,Efficient
Lake Charles Wal-Mart Branch,0.999916,Efficient
North Layton Branch,0.999916,Efficient
